running 44 cases × 3 tiers × 7 models
models: Opus 4.7, Sonnet 4.6, Haiku 4.5, GPT-5, GPT-5 Mini, Gemini 2.5 Pro, Gemini 2.5 Flash
  [Opus 4.7] small: skipping 27 cases
  [GPT-5 Mini      ] large  c03 miss picked=calendar_suggest_time
  [GPT-5 Mini      ] large  c07 ok  picked=github_create_pr
  [GPT-5 Mini      ] large  c09 ok  picked=todoist_create_task
  [GPT-5 Mini      ] large  c04 miss picked=drive_search_files
  [GPT-5 Mini      ] large  f01 ok  picked=notion_fetch
  [GPT-5 Mini      ] large  f02 ok  picked=gmail_get_thread
  [GPT-5 Mini      ] large  f03 ok  picked=calendar_get_event
  [GPT-5 Mini      ] large  f04 ok  picked=drive_read_file_content
  [GPT-5 Mini      ] large  c06 miss picked=-
  [GPT-5 Mini      ] large  u01 miss picked=notion_search
  [GPT-5 Mini      ] large  c10 miss picked=gmail_search_threads
  [GPT-5 Mini      ] large  u02 ok  picked=linear_update_issue
  [GPT-5 Mini      ] large  u03 ok  picked=todoist_complete_task
  [GPT-5 Mini      ] large  l02 ok  picked=drive_list_recent_files
  [GPT-5 Mini      ] large  f06 ok  picked=figma_get_design_context
  [GPT-5 Mini      ] large  f05 ok  picked=github_get_pr
  [GPT-5 Mini      ] large  l03 ok  picked=gmail_list_labels
  [GPT-5 Mini      ] large  l04 ok  picked=slack_list_channels
  [GPT-5 Mini      ] large  l01 ok  picked=calendar_list_events
  [GPT-5 Mini      ] large  a02 ok  picked=notion_search
  [GPT-5 Mini      ] large  l05 ok  picked=stripe_list_charges
  [GPT-5 Mini      ] large  a01 ok  picked=calendar_suggest_time
  [GPT-5 Mini      ] large  a06 ok  picked=gmail_search_threads
  [GPT-5 Mini      ] large  a05 ok  picked=stripe_list_customers
  [GPT-5 Mini      ] large  a04 ok  picked=todoist_create_task
  [GPT-5 Mini      ] large  a09 ok  picked=notion_search
  [GPT-5 Mini      ] large  a10 ok  picked=notion_search
  [GPT-5 Mini      ] large  a08 ok  picked=todoist_list_tasks
  [GPT-5 Mini      ] large  a03 miss picked=-
  [GPT-5 Mini      ] large  a07 miss picked=-
  [Gemini 2.5 Pro] small: skipping 27 cases
  [Gemini 2.5 Pro  ] small  f02 ok  picked=gmail_get_thread
  [Gemini 2.5 Pro  ] small  f01 ok  picked=notion_fetch
  [Gemini 2.5 Pro  ] small  c01 ok  picked=gmail_create_draft
  [Gemini 2.5 Pro  ] small  s01 ok  picked=notion_search
  [Gemini 2.5 Pro  ] small  c02 miss picked=notion_search
  [Gemini 2.5 Pro  ] small  c10 miss picked=-
  [Gemini 2.5 Pro  ] small  l03 ok  picked=gmail_list_labels
  [Gemini 2.5 Pro  ] small  u01 miss picked=notion_search
  [Gemini 2.5 Pro  ] small  f03 ok  picked=calendar_get_event
  [Gemini 2.5 Pro  ] small  c03 miss picked=-
  [Gemini 2.5 Pro  ] small  l01 miss picked=-
  [Gemini 2.5 Pro  ] small  s02 miss picked=-
  [Gemini 2.5 Pro  ] small  a06 ok  picked=gmail_search_threads
  [Gemini 2.5 Pro  ] small  a09 ok  picked=notion_search
  [Gemini 2.5 Pro  ] small  a10 ok  picked=notion_search
  [Gemini 2.5 Pro  ] small  a01 miss picked=-
  [Gemini 2.5 Pro  ] small  a02 miss picked=-
  [Gemini 2.5 Pro] medium: skipping 10 cases
  [Gemini 2.5 Pro  ] medium s04 ok  picked=slack_search_messages
  [Gemini 2.5 Pro  ] medium c01 ok  picked=gmail_create_draft
  [Gemini 2.5 Pro  ] medium s01 ok  picked=notion_search
  [Gemini 2.5 Pro  ] medium s05 ok  picked=linear_search_issues
  [Gemini 2.5 Pro  ] medium s10 ok  picked=todoist_list_tasks
  [Gemini 2.5 Pro  ] medium s02 ok  picked=gmail_search_threads
  [Gemini 2.5 Pro  ] medium c02 miss picked=notion_search
  [Gemini 2.5 Pro  ] medium c05 ok  picked=slack_post_message
  [Gemini 2.5 Pro  ] medium f01 ok  picked=notion_fetch
  [Gemini 2.5 Pro  ] medium s03 miss picked=-
  [Gemini 2.5 Pro  ] medium c06 miss picked=-
  [Gemini 2.5 Pro  ] medium f02 ok  picked=gmail_get_thread
  [Gemini 2.5 Pro  ] medium c09 ok  picked=todoist_create_task
  [Gemini 2.5 Pro  ] medium c04 miss picked=drive_search_files
  [Gemini 2.5 Pro  ] medium f04 ok  picked=drive_read_file_content
  [Gemini 2.5 Pro  ] medium c03 miss picked=-
  [Gemini 2.5 Pro  ] medium u02 ok  picked=linear_update_issue
  [Gemini 2.5 Pro  ] medium u01 miss picked=notion_search
  [Gemini 2.5 Pro  ] medium c10 miss picked=-
  [Gemini 2.5 Pro  ] medium u03 ok  picked=todoist_complete_task
  [Gemini 2.5 Pro  ] medium l03 ok  picked=gmail_list_labels
  [Gemini 2.5 Pro  ] medium f03 ok  picked=calendar_get_event
  [Gemini 2.5 Pro  ] medium l01 ok  picked=calendar_list_events
  [Gemini 2.5 Pro  ] medium l02 ok  picked=drive_list_recent_files
  [Gemini 2.5 Pro  ] medium l04 ok  picked=slack_list_channels
  [Gemini 2.5 Pro  ] medium a06 ok  picked=gmail_search_threads
  [Gemini 2.5 Pro  ] medium a02 ok  picked=slack_search_messages
  [Gemini 2.5 Pro  ] medium a01 miss picked=-
  [Gemini 2.5 Pro  ] medium a04 miss picked=-
  [Gemini 2.5 Pro  ] medium a08 ok  picked=todoist_list_tasks
  [Gemini 2.5 Pro  ] medium a03 miss picked=-
  [Gemini 2.5 Pro  ] medium a09 miss picked=-
  [Gemini 2.5 Pro  ] medium a07 miss picked=-
  [Gemini 2.5 Pro  ] medium a10 ok  picked=drive_search_files
  [Gemini 2.5 Pro  ] large  s01 ok  picked=notion_search
  [Gemini 2.5 Pro  ] large  s05 ok  picked=linear_search_issues
  [Gemini 2.5 Pro  ] large  s08 ok  picked=figma_search_design_system
  [Gemini 2.5 Pro  ] large  s07 ok  picked=github_search_issues
  [Gemini 2.5 Pro  ] large  s04 ok  picked=slack_search_messages
  [Gemini 2.5 Pro  ] large  s03 ok  picked=drive_search_files
  [Gemini 2.5 Pro  ] large  s02 ok  picked=gmail_search_threads
  [Gemini 2.5 Pro  ] large  s06 miss picked=-
  [Gemini 2.5 Pro  ] large  c01 ok  picked=gmail_create_draft
  [Gemini 2.5 Pro  ] large  c05 ok  picked=slack_post_message
  [Gemini 2.5 Pro  ] large  s10 ok  picked=todoist_list_tasks
  [Gemini 2.5 Pro  ] large  c02 miss picked=notion_search
  [Gemini 2.5 Pro  ] large  s09 ok  picked=stripe_list_customers
  [Gemini 2.5 Pro  ] large  c06 miss picked=-
  [Gemini 2.5 Pro  ] large  c08 ok  picked=stripe_create_customer
  [Gemini 2.5 Pro  ] large  c07 ok  picked=github_create_pr
  [Gemini 2.5 Pro  ] large  c04 miss picked=drive_search_files
  [Gemini 2.5 Pro  ] large  c03 miss picked=-
  [Gemini 2.5 Pro  ] large  c10 miss picked=gmail_search_threads
  [Gemini 2.5 Pro  ] large  f02 ok  picked=gmail_get_thread
  [Gemini 2.5 Pro  ] large  f01 ok  picked=notion_fetch
  [Gemini 2.5 Pro  ] large  f05 ok  picked=github_get_pr
  [Gemini 2.5 Pro  ] large  f03 ok  picked=calendar_get_event
  [Gemini 2.5 Pro  ] large  f04 ok  picked=drive_read_file_content
  [Gemini 2.5 Pro  ] large  c09 miss picked=-
  [Gemini 2.5 Pro  ] large  u02 ok  picked=linear_update_issue
  [Gemini 2.5 Pro  ] large  u03 ok  picked=todoist_complete_task
  [Gemini 2.5 Pro  ] large  u01 miss picked=notion_search
  [Gemini 2.5 Pro  ] large  l03 ok  picked=gmail_list_labels
  [Gemini 2.5 Pro  ] large  f06 ok  picked=figma_get_design_context
  [Gemini 2.5 Pro  ] large  l02 ok  picked=drive_list_recent_files
  [Gemini 2.5 Pro  ] large  l04 ok  picked=slack_list_channels
  [Gemini 2.5 Pro  ] large  l01 ok  picked=calendar_list_events
  [Gemini 2.5 Pro  ] large  l05 miss picked=-
  [Gemini 2.5 Pro  ] large  a06 ok  picked=gmail_search_threads
  [Gemini 2.5 Pro  ] large  a01 ok  picked=calendar_suggest_time
  [Gemini 2.5 Pro  ] large  a04 ok  picked=todoist_create_task
  [Gemini 2.5 Pro  ] large  a03 miss picked=-
  [Gemini 2.5 Pro  ] large  a07 miss picked=-
  [Gemini 2.5 Pro  ] large  a02 miss picked=-
  [Gemini 2.5 Pro  ] large  a05 miss picked=-
  [Gemini 2.5 Pro  ] large  a08 ok  picked=todoist_list_tasks
  [Gemini 2.5 Pro  ] large  a09 miss picked=-
  [Gemini 2.5 Pro  ] large  a10 miss picked=-
  [Gemini 2.5 Flash] small: skipping 27 cases
  [Gemini 2.5 Flash] small  s01 ok  picked=notion_search
  [Gemini 2.5 Flash] small  f02 miss picked=-
  [Gemini 2.5 Flash] small  c10 miss picked=gmail_search_threads
  [Gemini 2.5 Flash] small  c02 miss picked=notion_search
  [Gemini 2.5 Flash] small  f01 ok  picked=notion_fetch
  [Gemini 2.5 Flash] small  c01 ok  picked=gmail_create_draft
  [Gemini 2.5 Flash] small  f03 ok  picked=calendar_get_event
  [Gemini 2.5 Flash] small  u01 miss picked=notion_search
  [Gemini 2.5 Flash] small  c03 miss picked=-
  [Gemini 2.5 Flash] small  s02 miss picked=-
  [Gemini 2.5 Flash] small  l03 ok  picked=gmail_list_labels
  [Gemini 2.5 Flash] small  l01 miss picked=-
  [Gemini 2.5 Flash] small  a01 ok  picked=calendar_suggest_time
  [Gemini 2.5 Flash] small  a02 ok  picked=notion_search
  [Gemini 2.5 Flash] small  a06 ok  picked=gmail_search_threads
  [Gemini 2.5 Flash] small  a10 ok  picked=notion_search
  [Gemini 2.5 Flash] small  a09 ok  picked=notion_search
  [Gemini 2.5 Flash] medium: skipping 10 cases
  [Gemini 2.5 Flash] medium s04 ok  picked=slack_search_messages
  [Gemini 2.5 Flash] medium s05 miss picked=-
  [Gemini 2.5 Flash] medium s02 miss picked=-
  [Gemini 2.5 Flash] medium c01 ok  picked=gmail_create_draft
  [Gemini 2.5 Flash] medium c02 miss picked=-
  [Gemini 2.5 Flash] medium s01 ok  picked=notion_search
  [Gemini 2.5 Flash] medium s10 ok  picked=todoist_list_tasks
  [Gemini 2.5 Flash] medium s03 ok  picked=drive_search_files
  [Gemini 2.5 Flash] medium c03 miss picked=-
  [Gemini 2.5 Flash] medium c05 miss picked=-
  [Gemini 2.5 Flash] medium c09 miss picked=-
  [Gemini 2.5 Flash] medium c04 miss picked=drive_search_files
  [Gemini 2.5 Flash] medium f02 miss picked=-
  [Gemini 2.5 Flash] medium c10 miss picked=gmail_search_threads
  [Gemini 2.5 Flash] medium f01 ok  picked=notion_fetch
  [Gemini 2.5 Flash] medium f03 ok  picked=calendar_get_event
  [Gemini 2.5 Flash] medium f04 ok  picked=drive_read_file_content
  [Gemini 2.5 Flash] medium u02 miss picked=-
  [Gemini 2.5 Flash] medium c06 miss picked=-
  [Gemini 2.5 Flash] medium u03 ok  picked=todoist_complete_task
  [Gemini 2.5 Flash] medium l02 miss picked=-
  [Gemini 2.5 Flash] medium u01 miss picked=notion_search
  [Gemini 2.5 Flash] medium l03 miss picked=-
  [Gemini 2.5 Flash] medium l04 miss picked=-
  [Gemini 2.5 Flash] medium a01 ok  picked=calendar_suggest_time
  [Gemini 2.5 Flash] medium a04 miss picked=-
  [Gemini 2.5 Flash] medium a02 ok  picked=slack_search_messages
  [Gemini 2.5 Flash] medium l01 miss picked=-
  [Gemini 2.5 Flash] medium a03 miss picked=slack_list_channels
  [Gemini 2.5 Flash] medium a06 ok  picked=gmail_search_threads
  [Gemini 2.5 Flash] medium a08 ok  picked=todoist_list_tasks
  [Gemini 2.5 Flash] medium a09 ok  picked=drive_search_files
  [Gemini 2.5 Flash] medium a10 ok  picked=drive_search_files
  [Gemini 2.5 Flash] medium a07 miss picked=-
  [Gemini 2.5 Flash] large  s07 ok  picked=github_search_issues
  [Gemini 2.5 Flash] large  s08 miss picked=-
  [Gemini 2.5 Flash] large  s01 ok  picked=notion_search
  [Gemini 2.5 Flash] large  s04 ok  picked=slack_search_messages
  [Gemini 2.5 Flash] large  s06 ok  picked=github_search_code
  [Gemini 2.5 Flash] large  s05 ok  picked=linear_search_issues
  [Gemini 2.5 Flash] large  s02 ok  picked=gmail_search_threads
  [Gemini 2.5 Flash] large  s09 ok  picked=stripe_list_customers
  [Gemini 2.5 Flash] large  s10 ok  picked=todoist_list_tasks
  [Gemini 2.5 Flash] large  c01 ok  picked=gmail_create_draft
  [Gemini 2.5 Flash] large  c02 miss picked=-
  [Gemini 2.5 Flash] large  c04 miss picked=drive_search_files
  [Gemini 2.5 Flash] large  s03 miss picked=-
  [Gemini 2.5 Flash] large  c07 miss picked=-
  [Gemini 2.5 Flash] large  c05 ok  picked=slack_post_message
  [Gemini 2.5 Flash] large  c06 miss picked=-
  [Gemini 2.5 Flash] large  c08 ok  picked=stripe_create_customer
  [Gemini 2.5 Flash] large  c09 ok  picked=todoist_create_task
  [Gemini 2.5 Flash] large  f04 miss picked=-
  [Gemini 2.5 Flash] large  c03 miss picked=-
  [Gemini 2.5 Flash] large  f02 miss picked=-
  [Gemini 2.5 Flash] large  f05 ok  picked=github_get_pr
  [Gemini 2.5 Flash] large  u02 ok  picked=linear_update_issue
  [Gemini 2.5 Flash] large  u03 miss picked=-
  [Gemini 2.5 Flash] large  c10 miss picked=-
  [Gemini 2.5 Flash] large  f03 ok  picked=calendar_get_event
  [Gemini 2.5 Flash] large  f06 ok  picked=figma_get_design_context
  [Gemini 2.5 Flash] large  u01 miss picked=notion_search
  [Gemini 2.5 Flash] large  l04 miss picked=-
  [Gemini 2.5 Flash] large  l02 miss picked=-
  [Gemini 2.5 Flash] large  f01 miss picked=-
  [Gemini 2.5 Flash] large  l03 miss picked=-
  [Gemini 2.5 Flash] large  l05 miss picked=-
  [Gemini 2.5 Flash] large  l01 miss picked=now
  [Gemini 2.5 Flash] large  a01 ok  picked=calendar_suggest_time
  [Gemini 2.5 Flash] large  a03 miss picked=slack_list_channels
  [Gemini 2.5 Flash] large  a06 ok  picked=gmail_search_threads
  [Gemini 2.5 Flash] large  a04 ok  picked=todoist_create_task
  [Gemini 2.5 Flash] large  a02 ok  picked=slack_search_messages
  [Gemini 2.5 Flash] large  a08 ok  picked=todoist_list_tasks
  [Gemini 2.5 Flash] large  a05 miss picked=-
  [Gemini 2.5 Flash] large  a09 ok  picked=notion_search
  [Gemini 2.5 Flash] large  a10 ok  picked=drive_search_files
  [Gemini 2.5 Flash] large  a07 miss picked=-

wrote /Users/p/Code/mcp-tool-selection-eval/results/cross-provider.json

================================================================================
MCP TOOL SELECTION EVAL
================================================================================
overall: 454/665 strict (68.3%)   544/665 sensible (81.8%)   errors=0   cost=$5.0742
  (sensible = strict OR same-server search/list preceding a write/fetch)

model × tier — strict / sensible accuracy
  model                                     small          medium           large
  claude-haiku-4-5-20251001           64.7%/82.4%     70.6%/85.3%     79.5%/93.2%
  claude-opus-4-7                     76.5%/94.1%     79.4%/97.1%     84.1%/97.7%
  claude-sonnet-4-6                   70.6%/88.2%     73.5%/97.1%     77.3%/97.7%
  gemini-2.5-flash                    58.8%/76.5%     44.1%/55.9%     52.3%/59.1%
  gemini-2.5-pro                      52.9%/64.7%     64.7%/73.5%     65.9%/75.0%
  gpt-5                               64.7%/76.5%     58.8%/67.6%     54.5%/63.6%
  gpt-5-mini                          70.6%/88.2%     73.5%/91.2%     81.8%/90.9%

model × category (strict accuracy)
  model                           ambiguous    create     fetch      list    search    update
  claude-haiku-4-5-20251001           79.2%     40.9%     84.6%     81.8%    100.0%     57.1%
  claude-opus-4-7                     83.3%     50.0%    100.0%    100.0%    100.0%     57.1%
  claude-sonnet-4-6                   79.2%     40.9%     92.3%    100.0%    100.0%     28.6%
  gemini-2.5-flash                    75.0%     27.3%     61.5%      9.1%     72.2%     28.6%
  gemini-2.5-pro                      45.8%     36.4%    100.0%     81.8%     83.3%     57.1%
  gpt-5                               50.0%     27.3%     84.6%     90.9%     77.8%     28.6%
  gpt-5-mini                          79.2%     40.9%    100.0%    100.0%     94.4%     57.1%

top confusions (expected → picked, count)
  21x  notion_update_page  →  notion_search
  19x  notion_create_page  →  notion_search
  18x  linear_create_issue  →  <none>
  15x  gmail_create_draft  →  gmail_search_threads
  13x  calendar_create_event  →  <none>
  12x  drive_create_file  →  drive_search_files
  10x  slack_post_message  →  slack_list_channels
  9x  gmail_create_draft  →  <none>
  8x  calendar_create_event  →  calendar_suggest_time
  8x  linear_create_issue  →  linear_search_issues
  6x  calendar_suggest_time  →  <none>
  6x  calendar_list_events  →  <none>
  6x  todoist_create_task  →  <none>
  5x  slack_post_message  →  <none>
  5x  drive_search_files  →  <none>
================================================================================
